"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Leche Chocolate 1L","75061965091","Lacteos","2026-03-02","Pilsener","66.42","388"
"Galletas Oreo 200g","75050602191","Snacks","2026-08-21","Pilsener","27.17","326"
"Trail Mix 500g","75068662032","Snacks","2027-06-12","Quaker","145.36","200"
"Pechuga Pollo 200g","75015420375","Carnes","2026-10-11","Nestle","136.26","221"
"Uva Verde 250g","75057435793","Frutas","2026-09-04","Bayer","133.88","213"
"Limonada 6u","75098684007","Bebidas","2027-03-27","Pilsener","135.51","222"
"Garbanzo 1L","75012244044","Granos","2027-02-27","Bimbo","14.12","56"
"Manzana Roja","75092940820","Frutas","2027-07-28","Procter","48.01","389"
"Pan Dulce 200ml","75099696654","Panaderia","2027-05-15","Bayer","111.08","272"
"Aceite Canola 100g","75038099948","Aceites","2027-12-09","Unilever","114.72","54"
"Aceite Oliva 750ml","75068760017","Aceites","2026-02-03","McCormick","49.21","59"
"Mango 250g","75077695386","Frutas","2027-07-17","Quaker","2.52","321"
"Tortilla Maiz 1kg","75086100448","Panaderia","2027-12-01","Procter","26.76","118"
"Jugo Naranja 200g","75097025338","Bebidas","2027-04-26","McCormick","50.89","450"
"Quinoa 750ml","75061144219","Granos","2026-07-19","Lipton","144.99","299"
"Pan Blanco 3u #891","75013283082","Panaderia","2026-03-10","Procter","22.19","322"
"Desinfectante 1kg","75015697021","Limpieza","2026-07-11","McCormick","141.53","317"
"Frijol Negro 1u","75084789651","Granos","2026-01-28","Procter","66.64","474"
"Quinoa","75071065761","Granos","2026-01-10","Kelloggs","53.92","215"
"Kombucha 1L","75035780282","Bebidas","2026-12-25","Lipton","141.45","349"
"Longaniza 3u #571","75064680289","Carnes","2027-11-09","La Costena","93.73","237"
"Cebada","75020622538","Granos","2026-04-01","Maggi","20.26","158"
"Coca Cola 200g","75079448824","Bebidas","2026-09-06","Nestle","32.61","68"
"Garbanzo 3u #838","75097236489","Granos","2027-06-14","Quaker","78.77","116"
"Pan Centeno 250ml","75015159555","Panaderia","2026-12-14","Bimbo","113.5","16"
"Pretzels 12u","75083861567","Snacks","2027-09-20","Pilsener","50.44","437"
"Yogurt Fresa 350ml","75073651793","Lacteos","2026-01-19","Knorr","60.54","327"
"Frijol Rojo 600ml","75016630086","Granos","2027-09-15","Quaker","65.43","103"
"Mango","75029975223","Frutas","2027-10-11","La Costena","5.65","17"
"Coca Cola 2kg","75014122073","Bebidas","2027-02-09","Knorr","65.34","377"
"Arroz Integral 3u","75085420193","Granos","2026-08-27","Procter","68.55","165"
"Yogurt Natural 750ml","75018912497","Lacteos","2027-07-01","Kern","139.94","64"
"Crema Agria 6u","75066489986","Lacteos","2027-11-22","Coca Cola","102.15","457"
"Tomate 12u","75075582308","Verduras","2027-07-20","Gallo","126.77","84"
"Queso Mozzarella 1L #411","75013864239","Lacteos","2026-05-16","Lipton","77.21","31"
"Pina 1L","75054762455","Frutas","2026-01-18","Kelloggs","22.75","432"
"Desodorante 3u","75022776725","Higiene","2026-05-27","Pilsener","51.67","347"
"Pretzels 2kg","75029668823","Snacks","2026-07-13","McCormick","115.79","389"
"Aceite Coco 500g #649","75064596230","Aceites","2026-04-01","Knorr","82.04","267"
"Tocino 2kg","75082857616","Carnes","2026-08-18","Coca Cola","9.73","461"
"Manzana Roja 500ml","75069512191","Frutas","2027-03-20","La Costena","54.98","152"
"Tortilla Maiz 250ml","75087617216","Panaderia","2027-01-02","Procter","58.08","105"
"Jugo Manzana 6u","75092883627","Bebidas","2027-03-10","Parma","121.12","354"
"Tomate 12u #610","75021812190","Verduras","2027-09-03","Parma","42.11","385"
"Yogurt Natural 600ml","75045789967","Lacteos","2026-06-27","Parma","3.77","84"
"Aceite Coco 100g","75085644076","Aceites","2027-11-06","Kern","145.84","246"
"Aceite Vegetal 500g","75081193397","Aceites","2027-03-13","Gallo","52.22","42"
"Muslo Pollo 600ml","75072223866","Carnes","2026-09-20","McCormick","11.54","73"
"Mango 1kg #973","75059086535","Frutas","2027-08-26","Parma","22.36","479"
"Muslo Pollo 200g #929","75096229874","Carnes","2027-11-27","Parma","53.81","218"
"Pechuga Pollo 2kg","75013071494","Carnes","2027-02-07","Maggi","55.18","316"
"Manzana Roja 12u","75020240668","Frutas","2027-10-04","Procter","129.62","206"
"Salchicha 1u #565","75041026862","Carnes","2026-06-04","Bimbo","132.52","119"
"Mango 12u","75057584907","Frutas","2026-12-12","Kelloggs","81.96","450"
"Limpia Vidrios 12u","75086820964","Limpieza","2027-10-14","Kern","94.26","93"
"Aceite Girasol 1L","75060606767","Aceites","2027-02-15","Lipton","26.8","284"
"Queso Mozzarella 200ml #815","75045508310","Lacteos","2027-03-22","Ducal","84.83","32"
"Pepsi 350ml","75044105543","Bebidas","2027-07-16","La Costena","51.83","39"
"Pechuga Pollo 3u","75094113371","Carnes","2027-02-25","Quaker","87.5","115"
"Aceite Aguacate 12u #670","75039104217","Aceites","2026-11-15","Kern","85.4","391"
"Chocolates 3u","75018957459","Snacks","2026-03-05","Del Monte","55.46","33"
"Croissant 1L","75076471942","Panaderia","2026-01-23","Nestle","25.8","272"
"Avena 12u","75045195529","Granos","2026-04-12","Ducal","71.82","39"
"Bolsa Basura 3u","75026172732","Limpieza","2026-10-04","Kern","21.94","295"
"Avena 750ml","75037788712","Granos","2026-05-22","Quaker","109.69","366"
"Yogurt Natural 350ml","75058053165","Lacteos","2027-07-11","Gallo","134.72","237"
"Frijol Negro 350ml #828","75022371709","Granos","2027-07-05","Ducal","89.3","66"
"Papaya 200ml","75020819114","Frutas","2026-10-22","Ducal","10.65","20"
"Arroz Blanco 250ml","75095868927","Granos","2026-10-28","Parma","63.5","427"
"Chile Jalapeno 2kg","75027855075","Verduras","2027-03-02","Unilever","73.87","421"
"Jabon Platos 1u","75075081210","Limpieza","2026-03-26","Pilsener","88.6","132"
"Frijol Negro 2kg","75050922789","Granos","2026-02-05","Ducal","84.41","297"
"Chorizo 500g","75062549306","Carnes","2026-11-09","Knorr","140.73","322"
"Tortilla Harina 600ml","75034246915","Panaderia","2027-10-01","Kern","82.42","471"
"Coca Cola 200g #457","75061422247","Bebidas","2026-10-21","Bayer","91.93","147"
"Pepino 500g","75095564515","Verduras","2026-12-07","Gallo","42.9","229"
"Jugo Manzana 2kg","75068490242","Bebidas","2027-09-15","Colgate","117.82","428"
"Leche Descremada 200g","75039570103","Lacteos","2027-12-04","Kern","133.6","415"
"Shampoo 1kg #753","75046768486","Higiene","2026-06-20","McCormick","81.44","129"
"Maiz Pozolero 2kg","75093644978","Granos","2027-04-20","Bayer","113.85","92"
"Kombucha 200g #490","75061625363","Bebidas","2027-04-11","La Costena","82.63","178"
"Papa 600ml","75036871593","Verduras","2026-05-14","Kern","97.73","200"
"Bolsa Basura 200ml","75031602996","Limpieza","2026-04-04","Coca Cola","123.89","296"
"Doritos 350ml","75061789382","Snacks","2026-07-22","Parma","37.86","38"
"Queso Mozzarella 500g","75054851428","Lacteos","2026-12-07","La Costena","119.35","163"
"Sandia 250ml","75023894141","Frutas","2027-09-12","La Costena","73.57","202"
"Yogurt Natural 500ml","75064721256","Lacteos","2027-10-08","McCormick","145.91","381"
"Pan Frances 500g","75015265799","Panaderia","2026-07-26","Maggi","122.64","291"
"Crema Corporal 500ml","75093324432","Higiene","2027-11-17","Colgate","60.54","454"
"Cebada 600ml","75018490481","Granos","2026-05-15","Kern","110.13","166"
"Papaya 3u","75055583882","Frutas","2027-10-22","Unilever","21.45","295"
"Queso Fresco 12u","75096761538","Lacteos","2027-04-28","Ducal","110.18","100"
"Naranja 200g","75075484784","Frutas","2027-11-03","Unilever","27.26","280"
"Croissant 1kg","75024015879","Panaderia","2027-03-10","Knorr","83.14","79"
"Aceite Girasol 6u","75098332641","Aceites","2026-10-27","Colgate","133.35","470"
"Pasta Dental 100g","75054142827","Higiene","2027-01-05","Coca Cola","98.34","268"
"Arroz Integral 350ml #824","75026323108","Granos","2027-06-01","Coca Cola","93.22","161"
"Cafe Frio 1u","75032819087","Bebidas","2026-06-22","Parma","50.0","118"
"Doritos 600ml","75099370345","Snacks","2026-11-06","Kelloggs","37.54","373"
"Chile Jalapeno 250g","75055107074","Verduras","2027-02-07","Del Monte","128.94","11"
"Cafe Frio 12u #488","75061921913","Bebidas","2026-09-14","Nestle","75.15","341"
"Pepino 1L","75053729150","Verduras","2027-04-26","Colgate","12.47","484"
"Gomitas","75085190850","Snacks","2027-10-03","Knorr","3.41","461"
"Te Helado 1kg","75047663971","Bebidas","2027-10-27","Knorr","80.76","101"
"Leche Descremada 250ml","75064456693","Lacteos","2027-08-10","McCormick","13.83","170"
"Papa 600ml #1003","75074312861","Verduras","2026-05-27","Pilsener","66.64","35"
"Fresa 200ml","75089229121","Frutas","2027-07-27","Maggi","64.78","434"
"Te Helado 200g","75025793003","Bebidas","2027-03-18","Procter","28.97","258"
"Papa 6u","75044662741","Verduras","2026-10-06","Procter","57.0","68"
"Jugo Naranja 500g #864","75086685509","Bebidas","2026-02-23","Procter","128.16","37"
"Leche Entera 6u","75017696376","Lacteos","2026-06-09","Kern","71.35","413"
"Sandia 100g","75029678425","Frutas","2026-10-11","Pilsener","46.99","297"
"Jugo Manzana 1L","75027179412","Bebidas","2026-10-12","Colgate","22.84","330"
"Jabon Platos 600ml #685","75060325672","Limpieza","2027-03-24","Unilever","124.29","49"
"Aceite Maiz 100g","75020487212","Aceites","2026-07-26","Ducal","68.67","268"
"Queso Mozzarella 6u","75050053508","Lacteos","2027-01-20","Kern","42.51","221"
"Papa 200ml","75088308907","Verduras","2026-09-15","Coca Cola","32.01","199"
"Cepillo Dental 350ml","75060548109","Higiene","2027-09-02","Procter","139.55","298"
"Limonada 1L","75092181884","Bebidas","2027-08-01","Ducal","71.43","299"
"Jabon Bano 100g #762","75069020028","Higiene","2027-04-18","Kern","9.9","292"
"Jugo Manzana 750ml #868","75093252519","Bebidas","2027-12-16","Knorr","80.77","290"
"Limonada 1u","75035888624","Bebidas","2026-07-15","Ducal","147.67","496"
"Aceite Canola 250ml","75032282931","Aceites","2027-08-06","Knorr","85.76","448"
"Yogurt Fresa 12u","75043674194","Lacteos","2027-09-04","Bayer","99.73","146"
"Zanahoria 600ml","75020270776","Verduras","2027-10-18","Bayer","132.77","186"
"Acondicionador 750ml","75074182219","Higiene","2027-09-08","Del Monte","107.51","25"
"Banana 200ml","75054136214","Frutas","2027-11-25","McCormick","128.96","269"
"Cebolla 1L","75073084687","Verduras","2026-05-17","Ducal","124.71","440"
"Escoba 2kg","75024737896","Limpieza","2027-04-06","Del Monte","60.56","140"
"Jugo Naranja 600ml","75059916954","Bebidas","2027-09-18","Colgate","49.38","439"
"Jamon Pavo #557","75073024298","Carnes","2027-09-13","Ducal","114.87","62"
"Desinfectante 750ml","75032529192","Limpieza","2026-12-16","Quaker","9.68","181"
"Aceite Canola 100g #1037","75022052242","Aceites","2026-11-05","McCormick","26.14","45"
"Chocolates 2kg","75055569300","Snacks","2027-05-11","Pilsener","66.71","334"
"Bistec Res 350ml","75084848838","Carnes","2026-01-20","Coca Cola","90.0","219"
"Baguette 6u","75050673525","Panaderia","2027-11-11","Lipton","103.23","33"
"Yogurt Fresa 1L","75039358189","Lacteos","2026-05-03","Del Monte","145.57","428"
"Te Helado 500ml","75094862181","Bebidas","2027-12-02","Ducal","11.83","291"
"Crema Corporal 3u","75051448096","Higiene","2026-11-04","Coca Cola","56.87","26"
"Lenteja Roja 100g","75098563139","Granos","2027-05-28","Kelloggs","9.24","267"
"Pan Centeno 100g","75080416957","Panaderia","2027-03-13","Unilever","21.88","308"
"Manteca Vegetal 3u","75023639881","Aceites","2027-12-18","Coca Cola","100.98","266"
"Cebolla 200ml","75015603443","Verduras","2026-09-05","Quaker","95.99","7"
"Queso Cheddar 500ml","75088795546","Lacteos","2026-10-01","Del Monte","13.45","88"
"Tortilla Harina 12u","75019957210","Panaderia","2027-09-15","Colgate","127.81","112"
"Avena 500ml","75043387262","Granos","2027-05-13","McCormick","37.85","57"
"Costilla Cerdo 1L #939","75041795893","Carnes","2026-10-05","Gallo","8.7","381"
"Agua Pura 2kg","75087961948","Bebidas","2027-09-05","Maggi","19.64","168"
"Frijol Rojo 6u #831","75076813085","Granos","2026-05-09","Ducal","82.9","252"
"Cepillo Dental 1L","75016380612","Higiene","2026-05-05","Maggi","48.82","37"
"Cheetos 500ml","75039695590","Snacks","2026-09-15","Bimbo","139.78","282"
"Jabon Bano 250g","75042865716","Higiene","2027-04-11","Quaker","28.42","189"
"Aceite Maiz 1u","75074180892","Aceites","2027-10-03","Procter","103.5","214"
"Papa","75081134009","Verduras","2026-10-09","Parma","76.79","484"
"Papel Higienico #775","75051526458","Higiene","2027-10-09","Nestle","131.27","295"
"Pan Centeno 200ml","75033898657","Panaderia","2026-10-28","Procter","5.38","388"
"Bistec Res 500ml","75030438480","Carnes","2027-01-13","Del Monte","23.08","43"
"Desinfectante 3u","75016980833","Limpieza","2027-08-19","Bayer","76.34","327"
"Queso Cheddar 3u #402","75041959301","Lacteos","2026-04-27","Ducal","23.53","160"
"Queso Fresco 200ml","75052740612","Lacteos","2026-04-12","Bayer","60.01","458"
"Gatorade 600ml","75068290294","Bebidas","2026-10-26","Quaker","39.07","102"
"Leche Chocolate 1kg #817","75069285481","Lacteos","2026-11-27","La Costena","106.42","193"
"Tocino 1L","75070227648","Carnes","2027-09-22","Lipton","140.59","174"
"Gatorade 750ml","75053861802","Bebidas","2027-02-05","Quaker","39.87","254"
"Maiz Pozolero 6u","75043947143","Granos","2027-04-24","Knorr","68.09","188"
"Queso Fresco 500g","75029809923","Lacteos","2026-04-04","Colgate","134.97","223"
"Aceite Girasol","75084565386","Aceites","2026-03-25","Colgate","149.14","221"
"Arroz Integral 12u","75014442225","Granos","2026-05-15","Quaker","49.7","387"
"Jugo Manzana","75031476282","Bebidas","2026-01-07","Procter","106.33","400"
"Desodorante 2kg","75095366307","Higiene","2026-11-27","La Costena","13.56","351"
"Aceite Vegetal 500ml #642","75012919201","Aceites","2027-08-17","Colgate","81.2","404"
"Brocoli 500g","75082617018","Verduras","2027-03-28","Maggi","2.97","188"
"Muslo Pollo 250g","75019222760","Carnes","2026-08-18","Maggi","53.68","140"
"Aceite Soya #665","75034744679","Aceites","2026-01-16","Gallo","147.47","498"
"Pan Centeno 100g #526","75040118788","Panaderia","2026-05-16","Kern","31.33","250"
"Cebada 200ml #852","75060128581","Granos","2027-03-13","Bimbo","92.72","488"
"Coca Cola 200ml","75044658082","Bebidas","2026-08-21","Bayer","19.52","40"
"Jugo Naranja 2kg #469","75071616284","Bebidas","2026-02-24","Del Monte","57.52","5"
"Esponja 12u","75065987163","Limpieza","2026-06-27","Ducal","122.67","10"
"Quinoa 3u #844","75074775971","Granos","2027-05-10","Unilever","142.72","355"
"Aceite Coco 500g","75061875327","Aceites","2027-09-18","Unilever","128.05","90"
"Suavizante 1u","75011256289","Limpieza","2027-09-01","Parma","118.35","494"
"Trapeador 250ml","75062217128","Limpieza","2027-08-27","Lipton","80.81","229"
"Jugo Manzana 250g","75075142024","Bebidas","2027-08-22","Bayer","56.02","165"
"Espinaca 6u","75076977928","Verduras","2026-10-04","Pilsener","47.76","345"
"Jabon Bano 12u","75058576739","Higiene","2027-01-16","McCormick","11.59","140"
"Chorizo 12u","75013702089","Carnes","2027-03-01","Quaker","38.97","96"
"Suavizante 12u","75070731307","Limpieza","2026-12-23","Pilsener","68.44","314"
"Tocino 3u","75071176400","Carnes","2026-08-23","Lipton","84.52","375"
"Papaya 1u","75077678386","Frutas","2026-05-26","Gallo","77.91","331"
"Queso Cheddar 350ml","75050225333","Lacteos","2026-09-14","Lipton","26.96","31"
"Tortilla Maiz 12u","75041957383","Panaderia","2026-04-04","Nestle","46.06","107"
"Limpia Vidrios 350ml","75086449911","Limpieza","2027-02-28","Pilsener","120.03","176"
"Pepsi 3u","75056817531","Bebidas","2026-02-06","Nestle","141.28","140"
"Pan Blanco","75073722914","Panaderia","2027-07-21","Unilever","113.41","88"
"Doritos 12u","75019391454","Snacks","2027-03-11","Kern","15.53","226"
"Manzana Roja 200g","75049396711","Frutas","2027-04-27","Procter","10.08","49"
"Cafe Frio 12u","75071780179","Bebidas","2026-06-25","Colgate","120.98","191"
"Kombucha 200g #885","75017324397","Bebidas","2026-06-06","Quaker","85.28","105"
"Chocolates 250ml","75088879945","Snacks","2027-07-04","Kelloggs","48.25","257"
"Chile Jalapeno","75033116137","Verduras","2026-11-24","Maggi","25.56","187"
"Aguacate 500g #1020","75051764069","Verduras","2026-08-18","Lipton","116.75","117"
"Maiz Pozolero 3u","75076287016","Granos","2027-09-17","Gallo","112.31","363"
"Brocoli 350ml","75070264592","Verduras","2026-10-15","Bayer","130.2","82"
"Crema Corporal 1u","75029147825","Higiene","2027-11-23","Procter","28.06","472"
"Aceite Coco 200g #1033","75044310801","Aceites","2026-08-20","Coca Cola","116.12","174"
"Pechuga Pollo 1kg #926","75078810150","Carnes","2026-10-19","Quaker","117.33","316"
"Desodorante 350ml","75069375080","Higiene","2027-08-08","Gallo","5.75","159"
"Carne Molida 1kg","75087238867","Carnes","2026-01-18","Parma","53.25","128"
"Pepino 2kg","75045173784","Verduras","2027-12-25","Bimbo","85.6","41"
"Gomitas 350ml","75037957287","Snacks","2026-08-22","La Costena","115.53","455"
"Tortilla Harina 1kg","75034578968","Panaderia","2027-01-11","Knorr","39.47","451"
"Pechuga Pollo 250ml","75033714613","Carnes","2026-06-10","Nestle","88.77","188"
"Espinaca","75057326702","Verduras","2027-09-25","Unilever","32.75","290"
"Jabon Bano 500ml","75045396288","Higiene","2027-10-18","Nestle","111.48","214"
"Arroz Integral 250ml","75052555785","Granos","2026-07-27","Pilsener","17.91","10"
"Crema Agria 250g #807","75019901512","Lacteos","2026-12-04","Ducal","94.64","187"
"Tocino 350ml #562","75027250114","Carnes","2027-09-14","Procter","65.41","212"
